"movie_id","movie_title","original_language","overview","production_countries","year_released"
"a-boxers-mind","A Boxer's Mind","en","A former professional boxer, tells us about the biggest battle he had to fight... Life.","[""United Kingdom""]","2019"
"cold-feet-2018","Cold Feet","de","Although he actually just wanted to steal money, the crook Denis finds himself in the position of caretaking for the stroke patient Raimund. When Raimund's granddaughter Charlotte turns up, Denis has enough of it and wants to skip. But because of an huge blizzard, escape is unimaginable.","[""Germany"",""Austria""]","2018"
"the-beastmaster","The Beastmaster","en","Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers.","[""United States of America""]","1982"
"peaches-does-herself","Peaches Does Herself","en","On the advice of a 65-year-old stripper, Peaches makes music that is sexually forthright. Her popularity grows and she becomes what her fans expect her to be: transsexual. She falls in love with a beautiful she-male, but Peaches gets her heart broken and has to realize who she really is. Described as an anti-jukebox musical. Peaches writes, directs and plays the role of Peaches herself.","[""Germany""]","2012"
"a-bright-shining-lie","A Bright Shining Lie","en","Something in his past keeps career Army man John Paul Vann from advancing past colonel. He views being sent to Vietnam as part of the US military advisory force a stepping stone to promotion. However, he disagrees vocally (and on the record) with the way the war is being run and is forced to leave the military. Returning to Vietnam as a civilian working with the Army, he comes to despise some South Vietnamese officers while he takes charge of some of the U.S. forces and continues his liaisons with Vietnamese women.","[""United States of America""]","1998"
"compasso-de-espera","Compasso de Espera","pt","Jorge de Oliveira is an Afro-Brazilian poet who works in a publicity agency in São Paulo. Torn between his rich white lovers and his black family and friends, Jorge's situation serves as a springboard to a discussion about racial issues in Brazil.","[""Brazil""]","1973"
"armi-alive","Armi Alive!","fi","Armi Ratia is the woman behind the legendary design company Marimekko and a worldwide celebrity. A theatre company has taken on the task of trying to portray the life and work of this complex person. The sets mainly consist of the well-known patterns that we all have grown to love. Armi is a brave, risk-taking businesswoman and her passion for her company repeatedly takes its toll on her employees, finances and family. The company grows while Armi's personal life is shaken by suicide attempts and turbulence. In Armi Alive!, Oscar-nominated film producer and director Jörn Donner portrays a fascinating woman with fervent ideas about the new Finnish man, her company, fabrics and clothes.","[""Finland""]","2015"
"song-25","Song 25","en","The Songs are a cycle of silent color 8mm films by the American experimental filmmaker Stan Brakhage produced from 1964 to 1969.","[""United States of America""]","1967"
"loyal-citizens-of-pyongyang-in-seoul","Loyal Citizens of Pyongyang in Seoul","en","A new documentary by UCLA undergraduate student David Yun challenges the dominant narrative on North Korea’s “defectors.” Based on interviews with a human rights attorney and North Koreans living in Seoul, this short film interrogates the reliability of defector testimony as accurate depictions of life in North Korea.","[]","2018"
"erebus-operation-overdue","Erebus: Operation Overdue","en","On 28 November 1979, an Air New Zealand jet with 257 passengers went missing during a sightseeing tour over Antarctica. Within hours 11 ordinary police officers were called to duty to face the formidable Mount Erebus. As the police recovered the victims, an investigation team tried to uncover the mystery of how a jet could fly into a mountain in broad daylight. Did the airline have a secret it wanted to bury? This film tells the story of four New Zealand police officers who went to Antarctica as part of the police operation to recover the victims of the crash. Set in the beautiful yet hostile environment of Antarctica, this is the emotional and compelling true story of an extraordinary police operation.","[""New Zealand""]","2014"
"alone-3","Alone","ml",NULL,"[""India""]","null"
"barnum-was-right","Barnum Was Right","en","Freddie owns a failing old hotel. To attract new business he spreads the rumor that there's pirate treasure hidden somewhere in the building.","[""United States of America""]","1929"
"behind-enemy-lines-iii-colombia","Behind Enemy Lines III: Colombia","en","Navy SEALS mount an attack on Colombian special forces to clear their names and rescue a hostage.","[""United States of America""]","2009"
"ive-got-a-little-problem","I've Got a Little Problem","zh","Poet and photographer Ren Hang was renowned for his sensual images of Chinese youth, and in I've Got a Little Problem, Zhang chronicles the artist's struggle with the depression, public morality, and painful criticism that sent his life spiraling out of control.","[""China""]","2017"
"the-scent","The Scent","ko","A detective Seon-woo, who moonlights as a private investigator, has a beautiful new client Soo-Jin. The woman asks the detective to take photos of her husband in the midst of having an affair with another woman. When the detective goes to take pictures he discovers that the woman's husband is already dead. Now the detective becomes a suspect. The detective is chased by another detective Gil-ro. He must now set out for the real killer.","[""South Korea""]","2012"
"devil-may-call","Devil May Call","en","Samantha ""Sam"" works at a crisis hot-line where she listens to strangers and helps them deal with their pain. It's a pain she knows well since the hot-line saved her life once when she lost her sight and didn't know how to live in a world of darkness. On her last night on the job, Sam receives an terrifying visit from one of her regular callers who feels betrayed that she's leaving him. This man is no ordinary caller. He's a sadistic serial killer she's unknowingly been keeping from killing himself for over a year. With only a skeleton on the graveyard shift, there's very little that stands between him and Sam. He's come for her and won't let anything or anyone stand in his way. Will Sam survive the longest, darkest night of her life?","[""Thailand"",""United States of America""]","2013"
"ruas-rivais","Ruas Rivais","pt","In a neighborhood of the suburbs where avenges the law of the street, a group of teenagers will be required to overcome themselves and challenge their fears to conquer a place in the world.","[""Portugal""]","2014"
"malogro","Malogro","en","Documentary footage of the History of the Olympics intervened with corrosive chemicals. The emulsion, together with the athletes that make up the tape, generate different rhythmic results.","[]","2019"
"as-human-as-animal","As Human As Animal","en","A lonely man with a dark past is haunted by the choices that led him to the shadowy, desolate place he is now forced to live.","[""United States of America""]","2012"
"feyzo-the-polite-one","Feyzo, the Polite One","tr","To bid for his beloved's hand in marriage, poor villager Feyzo must come up with an enormous dowry to appease her father.","[""Turkey""]","1978"
"woo","Woo","en","Woo is a woman in control of her world. She is smart, self-confident, sophisticated and snarky. And she doesn't have any trouble attracting members of the opposite sex. But for some reason no one ever sticks around. Woo meets Tim, a paralegal who is her complete opposite. They shouldn't click. However, Woo and Tim begin to bond when a series of weird and stressful calamities hits them while they are on their first date.","[""United States of America""]","1998"
"working-with-max-ophuls-alain-jessua-on-the-making-of-madame-de","Working with Max Ophuls: Alain Jessua on the Making of Madame de...","fr","Interview with Alain Jessua about his work on Max Ophuls' 1953 film THE EARRINGS OF MADAME DE...","[""United Kingdom""]","2006"
"le-corps-humain","Le Corps Humain","en","This film is an in-camera portrait of my niece, Mia Larose (who was six months old at the time) captured during a winter family reunion in Lac Saint-Charles, Québec. Shot on a single roll of super 8mm film and hand-processed.","[""Canada""]","2006"
"cuando-la-tierra-temblo","¡Cuando la tierra tembló!","es","A 1942 film.","[""Mexico""]","1942"
"guilt","Guilt","en","A nightmarish accident that leads to an elderly man’s death one night after getting drunk with his best friend Yves. Neither chooses to confess just yet. Yves, the brasher member of the duo, succeeds in living on with his life, but Gabriel, more shy and honest, feels the guilt choking him as days turn into weeks and weeks become months...","[""Canada""]","2011"
"grit-polish-heroines-from-hong-kong","Grit & Polish: Heroines from Hong Kong","en","Female characters in martial arts films from Hong Kong: the women who played them and the directors who wrote the scenarios and directed the films.","[""United States of America""]","2001"
"ray-kinney-and-his-royal-hawaiian-orchestra","Ray Kinney and His Royal Hawaiian Orchestra","en","In this 'Vitaphone Melody Master,' orchestra leader Ray Kinney sings Hawaiian songs while The Aloha Maids perform native dances.","[]","1938"
"besito-a-papa","Besito a papá","en","A young man hires somebody to impersonate his father when it comes times to meet his girlfriend's parents.","[]","1961"
"so-you-want-to-hold-your-husband","So You Want to Hold Your Husband","en","Fed up with Joe's indifference toward her, Alice McDoakes takes her troubles to a marriage counselor. None of the courses of action she is advised to take have any impact on Joe, until she is advised to create the impression that she has left Joe for another man.","[""United States of America""]","1950"
"panorama-from-times-building-new-york","Panorama from Times Building, New York","en","The camera is high above Manhattan near the top of the Times Building, pointing down.","[""United States of America""]","1905"
"brass-unbound","Brass Unbound","nl","Documentary shows brass bands from Nepal, Surinam, Indonesia and Ghana.","[]","1993"
"invasion-of-the-bunny-snatchers","Invasion of the Bunny Snatchers","en","Daffy Duck, Yosemite Sam, and Elmer Fudd have all been captured, and badly animated pod-people versions have taken their places. Is Bugs next?","[]","1992"
"buding-ang-babayi-nga-naglutaw","Buding, ang Babayi nga Naglutaw","en","Three people came to the police station to report a rather unusual incident: a woman is seen floating inside her seaside home.","[""Philippines""]","2019"
"xx-beautiful-weapon","XX: Beautiful Weapon","ja","A blind female assassin lives alone in a remote house; her superiors occasionally send her ""clients"" / targets that she shoots right after having sex with them in her completely darkened bedroom.","[""Japan""]","1993"
"the-network","The Network","en","The Network is a documentary set behind the scenes at the largest television network in one of the most unstable and dangerous places on earth, Afghanistan.","[]","2013"
"the-right-kind-of-wrong","The Right Kind of Wrong","en","A stubborn idealist spies a bride on her way to her wedding and immediately falls in love with her.","[""Canada""]","2013"
"site-unseen-an-emma-fielding-mystery","Site Unseen: An Emma Fielding Mystery","en","Brilliant, dedicated, and driven, archaeologist Emma Fielding is trying to unearth evidence of a 17th century coastal Maine settlement that predates Jamestown, one of the most significant archaeological finds in years. But the dead body that accompanies it has embroiled Emma and her students in a different kind of exploration.","[""Canada""]","2017"
"the-rise-of-isis","The Rise of ISIS","en",NULL,"[""United States of America""]","2014"
"tom-and-huck","Tom and Huck","en","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","[""United States of America""]","1995"
"charizard","Charizard","pt","A guy is offered a job as caretaker of a house and decides to bring his new love along. However, she still has to split with her former boyfriend. Her solution: she'll write a break-up letter, and her new boyfriend has to deliver it. A playful look at love and loyalty.","[""Brazil""]","2012"
"zurich","Zurich","de","Terminally ill, Lea surprises her family with her wish to die, consciously and controlled, on her own birthday. Her mother tries everything to prevent the plan. But things turn out differently. Tragic and dignified.","[""Germany""]","2013"
"dead-tempo","Dead Tempo","en","A woman must keep an antique metronome ticking or face the consequences.","[]","2017"
"trying-it-at-home","Trying It at Home","en","A documentary on DIY punk, with the style to match. Musicians such as Frank Turner, Jeff Rosenstock, Chris Clavin, David McWane, and many others discuss the ethics behind their music, and the community that surrounds it.","[]","2014"
"mission-istaanbul","Mission Istaanbul","hi","A news reporter must uncover the secret on the 13th floor of a News Station.","[""India""]","2008"
"cloudburst","Cloudburst","en","Canadian World War II veteran John Graham (Robert Preston) works in London as a code breaker. Tragedy strikes when his pregnant wife, Carol (Elizabeth Sellars), is accidentally run over by two crooks who are speeding away from the scene of a murder. Haunted, grieving, and thirsting for revenge, Graham sets out to find the two fugitive murderers.","[""United Kingdom""]","1951"
"katharine-hepburn-as-joan-of-arc-in-technicolor-screen-test","Katharine Hepburn as Joan of Arc in Technicolor Screen Test","en","Taken at face value, this 4K digital restoration is a screen test of Katharine Hepburn, in costume and in character as Saint Joan of Arc. May 1934 was almost certainly a tumultuous time for Hepburn—still flying high on the success of playing Jo in Little Women, freshly divorced and pursuing a torrid romance with her agent, Leland Hayward, and grappling with the release of her first flop, Spitfire, just two months prior. Despite Hepburn’s luminous appearance, this version of Joan of Arc would never be made.","[]","1934"
"weekend-plot","Weekend Plot","zh","Six young urbanites who haven't seen each other for four years spend the weekend together on the banks of the Yangzhe river to escape the hustle and bustle of Beijing city. However, even the solitude of their surroundings cannot stop old tensions from resurfacing between some of the characters. The air becomes especially charged when a friend of the six shows up without invitation. Now married and working as a policeman in a small town near Yangzhe river, the young man pines for Xiaobei, his old high school flame and one of the women in the group. But, the policeman's presence triggers feelings of jealousy in Xiaobei's fiance, leading to a troubling twist at the end.","[""China""]","2001"
"a-cinderella-story-once-upon-a-song","A Cinderella Story: Once Upon a Song","en","In this modern telling of the classic tale, aspiring singer Katie Gibbs falls for the new boy at her performing arts high school. But Katie's wicked stepmother and stepsister are scheming to crush her dream before she can sing her way into his heart.","[""United States of America""]","2011"
"george-jones-golden-hits","George Jones: Golden Hits","en","Features George Jones discussing all of his greatest hit songs and contains fourteen full-length clips of George performing these songs at the exact time each was on the record charts from 1959 until today. Included are two of his chart-topping duets with Tammy Wynette, ""Golden Ring"" and ""Near You"", and the song voted Greatest Country Music Song of All-Time, ""He Stopped Loving Her Today"". This incredible anthology is a time capsule that allows us to enjoy the extraordinary musical career of living-legend George Jones as it unfolded.","[]","1994"
"mamonas-pra-sempre","Mamonas pra Sempre","pt","From unknown rock band Utopia to the overnight success Mamonas Assassinas to a horrible tragedy, this is the story of Brazil's most incredible band.","[""Brazil""]","2009"
"warming-by-the-devils-fire","Warming by the Devil's Fire","en","Director Charles Burnett (Killer of Sheep, My Brother's Wedding, To Sleep with Anger) presents a tale about a young boy's encounter with his family in Mississippi in the 1950s, and intergenerational tensions between the heavenly strains of gospel and the devilish moans of the blues.","[""United States of America""]","2003"
"another-man-another-chance","Another Man, Another Chance","en","Claude Lelouch's Another Man, Another Chance begins in France in 1870.  Napoleon III has just lost the war against Prussia and left the country in poverty.  Young Jeanne (Genevieve Bujold) falls in love with photographer Francis (Francis Huster), who soon takes her with him when he emigrates to America.  In a small town in the still wild west, they build up a small photo shop.  Meanwhile animal doctor David (James Caan) lives on his lonesome farm together with his unlucky wife.  It takes years and two tragic accidents until Jeanne and David meet.  She has already decided to return to France as soon as possible, but love, and fate, have other plans.","[""France"",""United States of America""]","1977"
"her-odd-tastes","Her Odd Tastes","en","A woman embarks on a worldwide quest for sexual fulfillment, experimenting in the exotic jungles of Africa to the swinging beaches of California, no desire left unfulfilled.","[""United States of America""]","1969"
"the-climber-1975","The Climber","it","Joe Dallesandro plays a hungry young buck who aspires to be a career criminal. He starts out working at a warehouse for a gangster where he helps to relocate illegal contraband, and because of his ruthlessness and dependability he begins to ascend the ladder of organized crime. Of course, the more powerful he becomes, the more ""Climbers"" come out of the shadows to take his place.","[""Italy""]","1975"
"three-chumps-ahead","Three Chumps Ahead","en","Thelma rushes into the apartment she shares with Patsy, excited because she's fallen in love with Archie, a rich man with yachts and a British accent. Patsy isn't impressed and less so when Archie comes calling. She does her best to sink the romance, making noise while the lovers talk and offering Limburger cheese sandwiches. In desperation, Archie calls his brother Benny, who's a sailor, and asks him to keep Patsy company. After a series of mishaps, they end up at a saloon where Patsy orders everything on the menu. Who's going to have to pay?","[""United States of America""]","1934"
"stumped-2018","Stumped","en","“I don’t want to be known as just a one-armed climber,” says Maureen Beck. “I just want to be a good climber.” Beck may have been born missing her lower left arm, but she is not here to be your inspiration.","[]","2018"
"sob-luz-e-sombras","Sob Luz e Sombras","pt","J. M. Goes, a photographer for over two decades, is dedicated exclusively to portraying the female nude, always in black and white and in a totally analog process.","[""Brazil""]","2012"
"the-beast-to-die","The Beast to Die","ja","A policeman is murdered and his gun, stolen, used to commit the next crime. Detective Kashiwagi, who is leading the investigation, learns that the author of the killings “walks like a dead man”. Kashiwagi runs into Date, a former correspondent in the Vietnam War. There, Date discovered hell and something snapped in his mind.","[""Japan""]","1980"
"riot-the-movie","R.I.O.T.: The Movie","en","Fear believes that the absolute worst will happen; faith believes the absolute best will happen.","[""United States of America""]","1996"
"bed-and-sofa","Bed and Sofa","xx","A married couple have a small apartment in Moscow. When an old friend of the husband's arrives in the city, he is unable to find lodgings. Kolia, the husband, invites his friend to move in with them.","[""Russia"",""Soviet Union""]","1927"
"the-morning-sun-shines","The Morning Sun Shines","ja","The Morning Sun Shines is a fiction-documentary film by Kenji Mizoguchi and Seiichi Ina. The film is a combination of a drama about a reporter, and documentary footage about newspaper production. Only 25 minutes of footage has survived.","[""Japan""]","1929"
"american-dream-american-knightmare","American Dream/American Knightmare","en","Documentary that delves deep into the life and storied exploits of the iconic Death Row Records co-founder Suge Knight, as well as the volatile and highly influential era in gangsta rap he presided over. Through a series of interviewers face to face with director Antoine Fuqua, Knight reveals exactly how it all happened and why it all fell apart. Knight is currently in jail pending trial on murder, attempted-murder and hit-and-run charges.","[""United States of America""]","2018"
"living-amongst-lions","Living Amongst Lions","en","Although the background is illness and death, this is a film about life. We follow three young people, Ingunn, Lars and Kristin, all cancer patients, for 15 months. We experience their joys and sorrows, hopes and despair.","[]","1998"
"pepe-mujica-lessons-from-the-flowerbed","Pepe Mujica: Lessons From the Flowerbed","de","José “Pepe” Mujica, the president of Uruguay from 2010-2015, is nothing like your regular politician. He drives a VW Beetle, lives on a farm and donates 70% of his earnings to charity. He is considered one of the most charismatic politicians in Latin America. Old and young believe in him thanks to his humble lifestyle and his unconventional manners, especially where political protocol is concerned. Now in his 80s, Mujica, a former guerrilla fighter who was imprisoned for 13 years for fighting with the Tupamaros against the dictatorial regime in Uruguay in the 1970s, believes in democracy, socialism, women’s rights and the legalization of cannabis. An inspiration to thousands of people all over the world, he grows flowers in his garden and defines life as his religion.","[""Germany""]","2014"
"sand-dollars","Sand Dollars","es","Every afternoon Noelí, a young Dominican woman, hangs out on the beach at Las Terrenas. With her boyfriend, Yeremi, they look for ways to make a living at the expense of one of the hundreds of tourists there. However Noelí also has a steady client, Anne, a much older French woman, who, like many other Europeans, has found an idyllic refuge on the island to spend her last years. For Noelí, the relationship is one of convenience, but the feelings become more intense as they plan to leave together for Paris.","[""Dominican Republic"",""Argentina"",""Mexico""]","2014"
"el-amor-de-los-amores-1","El amor de los amores","es",NULL,"[""Mexico""]","1944"
"blood-will-have-blood-2020","Blood Will Have Blood","en","A short horror filmed during quarantine.","[""United States of America""]","2020"
"before-midnight","Before Midnight","en","It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. Now, live in Paris with twin daughters, but have spent a summer in Greece on the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.","[""Greece"",""United States of America""]","2013"
"safehouse","Safehouse","en","Ex-FBI agent Cooper O'Neil thinks the dangerous times in his life are in the past; that is, until his former partner shows up dead at his marina home. O'Neil's old partner had a coveted thumb drive in his possession when he died, and now the ex-agent is forced back into the life he left behind to keep the thumb drive from the wrong hands.","[]","2008"
"in-the-middle-of-the-river","In the Middle of the River","en","Led to believe his abusive grandfather is responsible for his sister's recent death, Gabriel returns to his humble home in rural New Mexico. Yearning to protect his family, he swears to secretly kill his grandfather, yet at the critical moment, his plan is foiled and the two men are forced to spend the day together. Both war veterans, they begin talking about their traumatic experiences. Gabriel realizes the world is not as black and white as he once thought it was. Slowly, he is forced to take responsibility for his own role in the family crisis.","[""Germany"",""United States of America""]","2018"
"ali-babas-cinema","Ali Baba's Cinema","ar","Inspired by the 1950s cinema screenings in Cairo's sha'abi quarters, this double feature includes a space odyssey and a farm animal protector.","[""Egypt""]","2011"
"balablok","Balablok","en","Blocks and balls fight simply because they are different, until their battle reduces everyone to the same shape.","[""Canada""]","1972"
"hollywood-remembers-myrna-loy-so-nice-to-come-home-to","Myrna Loy: So Nice to Come Home To","en","This tribute to Myrna Loy is organized chronologically with a few photographs, many film clips, a handful of personal appearances, and a detailed commentary delivered on camera by Kathleen Turner. Turner walks us through Loy's career as a dancer and an actress miscast as an exotic. She comes into her own as a grown-up women: shrewd, funny, decorous, and sexy - in ""Manhattan Melodrama"" and ""The Thin Man."" Her volunteer work during World War II, later stage work, and progressive politics come in for admiration as well. It's her style - seen best in her roles as a wife of charm and independence - that's captured and celebrated here.","[""United States of America""]","1990"
"het-hut-syndicaat","Het Hut Syndicaat","nl","Filmmaker Diego Gutiérrez joins 'The Hut Syndicate', a mysterious group of hunters, during one hunting season and witnesses their longing to keep their vanishing world alive.","[]","2018"
"la-trajinera-del-terror","La trajinera del terror","es","Seven teenagers travel by a trajinera over Xochimilco waters. Two of them use a witchboard and become possessed. The teenagers soon are arrive on an island, where one by one are murdered by their possessed friends.","[""Mexico""]","2005"
"the-perfect-46","The Perfect 46","en","A geneticist creates a website that pairs an individual with their ideal genetic partner for children.","[]","2014"
"pieter-derks-zo-goed-als-nieuw","Pieter Derks: Zo Goed Als Nieuw","nl",NULL,"[]","2016"
"birdwatchers","Birdwatchers","it","Mato Grosso do Sul, Brazil, the present. When a young Guarani-Kaiowá woman commits suicide, Nádio leads his community to form a protest camp on the borders of a local farm that sits on their ancestral burial ground.","[""Brazil"",""Italy""]","2008"
"time-takes-a-cigarette","Time Takes a Cigarette","en","A photo animation of a woman standing in a cube. Through the windows of the cube, we see an aquarelle dune landscape. To the music of the pop song Time Takes a Cigarette, the woman smokes a cigarette as the camera makes a 360° rotation.","[""Netherlands""]","1973"
"all-babe-network","All Babe Network","en","Compton runs a low budget ratings starved TV network. She seeks to fire the bosses nephew, Brad who hosts ""Hoax Hunter"" by sabotaging his efforts. To save his job, he and his girlfriend Stacy do a live broadcast in search of Big Foot which ends up topless. Suddenly the ratings spike upwards and the tables are turned. Seven gratuitous soft core sex scenes are sprinkled throughout.","[""United States of America""]","2013"
"a-connecticut-yankee-1955","A Connecticut Yankee","en","A live television presentation of Rodgers and Hart's 1927 stage musical.","[]","1955"
"travelling-adiante","Travelling Adiante","pt",NULL,"[]","2019"
"the-chocolate-war","The Chocolate War","en","A surreal portrait of a Catholic Private School and its hierarchy. A new student must submit to the bizarre rituals of his peers and the expectations of the school's administration by selling chocolates.","[""United States of America""]","1988"
"the-nut-job-2-nutty-by-nature","The Nut Job 2: Nutty by Nature","en","When the evil mayor of Oakton decides to bulldoze Liberty Park and build a dangerous amusement park in its place, Surly Squirrel and his ragtag group of animal friends need to band together to save their home, defeat the mayor, and take back the park.","[""United States of America"",""Canada"",""South Korea""]","2017"
"ayudame-a-pasar-la-noche","Help Me Make It Through the Night","es","A family on the brink of a break up: dad is about to throw out mom because of her gambling addiction, the oldest boy's girlfriend is about to leave him because of his epilepsy and the youngest child thinks he has the perfect plan to bring the family back together again.","[""Mexico""]","2017"
"los-rollos-perdidos","Los Rollos Perdidos","en","This documentary begins searching for the whereabouts of the films that Servando Gonzalez did about  the events of October 2nd 1968 in Tlatelolco, research that later will deal with the fire of March 24th 1982 at the National Film Archives, which destroyed a lot of important part of the footage from Mexico.","[]","2012"
"the-aroma-of-tea","The Aroma of Tea","nl","The Aroma of Tea is a 2006 Dutch animated short film made by Michaël Dudok de Wit. It shows how a small sphere travels in a determined and rhythmical manner through landscapes, emerging at the end into a larger sphere of white light. Both the graphic brushstroke and the music, with its haunting rhythms, are strikingly simple and direct. The theme of the film, a quest followed by a union, is as old as time and recognizable despite its limitless variations.","[""Netherlands""]","2006"
"sever-2015","Sever","en","A small town girl, studying to be a surgeon, decided to shift gears, and come to the big city looking to make it big in Hollywood as an actress. When she meets a predator disguised as a talent agent she puts her talents for slicing and dicing to use.","[]","2015"
"table-for-three","Table for Three","en","A suddenly single guy invites what he thinks is a perfect couple to move into his apartment, only to discover they quickly insert themselves into all aspects of his life.","[""United States of America""]","2009"
"the-song-plugger","The Song Plugger","en","'Blind Bob' has written a song and the folks at the music publishing company think that Joe Frisco, his old friend from the Bowery is just right for it. So we see Joe at stage doing his peddler routine. He goes over to the publishing company, where he flirts with a girl act, and then tries out some eccentric dancing to the new song, which happens to be 'Get Happy.'","[]","1930"
"what-shall-we-do-with-our-old","What Shall We Do with Our Old?","en","An elderly carpenter is told by a doctor that his wife is seriously ill. Soon afterwards, an insensitive shop foreman lays him off from his job because of his age. Unable to find work, and with his wife's condition getting worse, he soon becomes desperate","[]","1911"
"the-boss-didnt-say-good-morning","The Boss Didn't Say Good Morning","en","Carey Wilson narrates this MGM Miniature short in which an average office worker suffers all week-end because his boss, who had a bad case of indigestion, didn't speak to him when he came to work on Friday and is convinced he is going to get fired.","[""United States of America""]","1937"
"the-last-days-of-peter-bergmann","The Last Days of Peter Bergmann","en","In the summer of 2009, a man calling himself Peter Bergmann and claiming to be from Austria arrived in Sligo Town. Over his final three days, Peter Bergmann would go to great lengths to ensure no one would ever discover who he was or where he came from.","[]","2013"
"following-the-way","Following the Way","en","A documentary made by Papua New Guinean-born filmmaker Steve Ramsden about the Anglican Church of Papua New Guinea. A story from each of the country's five dioceses reveals Anglican life in this astonishingly beautiful but little-known Pacific country.","[""Papua New Guinea""]","2010"
"baba-kalyani","Baba Kalyani","ml","Baba Kalyani is a Malayalam action film released in 2006. Directed by Shaji Kailas, this film has Mohanlal in the title role, supported by Biju Menon, Saikumar, Indrajith Sukumaran, Mamta Mohandas and Jagathy Sreekumar.","[""India""]","2006"
"red-handed-2019","Red Handed","en","When their father is murdered, three brothers descend upon an Oregon mountain river to spread his ashes. After they arrive, one of their children goes missing. One of the brothers was himself abducted 30 years ago when they visited this same river, but he has blocked the incident out of his mind. Only by unlocking the mysteries inside his subconscious, will they be able find the child.","[""United States of America""]","2019"
"tortoise-in-love","Tortoise in Love","en","Tortoise in Love is a feel-good romantic comedy in the tradition of Local Hero, Calendar Girls and The Full Monty. It's about an incredibly slow mover in love and the village that tries to speed him up.  The entire film is set in the beautiful English countryside of the Vale of the White Horse in Oxfordshire.  The story of the making of Tortoise in Love could almost be a film in itself. Almost the entire village of Kingston Bagpuize in Oxfordshire was involved in the making of the film. Young mums helped with the sales and design and publicity. Retired folk provided the drivers and stewards and props and logistics support. The Women's Institute organised a phenomenal catering effort and all the cast and crew were lodged in village homes for the duration of the shoot.","[""United Kingdom""]","2012"
"samurai-sensei","Samurai Sensei","ja","Hanpeita Takeichi, a samurai, finds that he has travelled through time to modern-day Japan. He's taken in by an old man who runs a cram school, and begins to work as a teacher there.","[]","2017"
"the-princess-the-marine","The Princess & the Marine","en","Based on a true story, American Marine Jason Johnson (Goselaar) is sent on assignment to the Emirate of Bahrain. While there, he meets and falls in love with a spirited, lovely young woman, Meriam (Nichols), without realizing she is really a member of the Bahraini Royal Family. Meriam, who does not wish to consent to an arranged marriage, knows her love affair with Jason is dangerous, as he is a Mormon Christian and she a Muslim. Her parents would never consent to their match, and so Meriam and Jason race against time to escape Bahrain and make it to the United States, where they can marry. If Meriam is sent back, however, her life may be in jeopardy.","[]","2001"
"kill-by-inches","Kill by Inches","en","An anxious young tailor dominated by his father, a master of the craft, is eager to do well with his clients; but his inadequacy in measuring leaves him frustrated and humiliated. His younger sister - an expert seamstress - arrives back in town, discovers his measuring weakness and begins a cruel reign of terror over him, humiliating him endlessly in front of customers. Pushed to the edge, the young tailor heads down the nightmarish road to insanity and murder.","[]","1999"
"dewars-scotch-whisky","Dewars Scotch Whisky","en","In slow motion, a line of giddy, possibly drunk men dressed in Scottish highland outfits perform a disorderly dance routine in front of a sign advertising the product of the title. This film is often incorrectly described as the first filmed advertisement.","[""United States of America""]","1897"
"robbery-101","Robbery 101","lv","After another successful con, two reasonably experienced con-men - Richard and Harry, - come to a conclusion that this has become too easy and even boring and they decide to expand their horizons.","[""Latvia""]","2017"
"giulia","Giulia","en","Giulia is an independent young woman who is prepared to offer her body and her spirit against all the religious taboos.","[""France"",""Italy""]","1999"
"the-hurried-man","The Hurried Man","fr","Art collector Pierre Niox (Alain Delon) rushes through life, lives a frantic life, does everything in full speed -- searching for and acquiring works of art or real estate, marrying or even dying  -- and in total disregard for any kind of morality. His misdeeds finally turn on him and destroy him.","[""France"",""Italy""]","1977"
"the-red-white-and-black","The Red, White, and Black","en","Told by a U.S. Army colonel and his wife, this vintage Western set in post-Civil War Texas chronicles the exploits of the all-black 10th cavalry regiment, which was formed in 1871. Cesar Romero plays the unit's commander.","[]","1970"
"avalanche-the-white-death","Avalanche: The White Death","en","This fierce force of nature can snap trees as if they were twigs, reduce houses to rubble, and kill anyone unlucky enough to stand in the way.","[]","1998"
"pandora-1984","Pandora","nl","This very early horror short  fan film by Wim Vink, shot on 8mm on a very low budget, has lots of fog,  some zombies and bloody mayhem to offer, as most of his works do. It uses prominent music by Goblin, from other composers too and it´s his only one that was made in original Dutch language. The idea of plot wafts around a book that may have the power to call up the flesh loving undead, inspired by ""Evil Dead"" and the work by George Romero.","[""Netherlands""]","1984"
"homeless-hare","Homeless Hare","en","A construction worker destroys Bugs' home with a steam shovel and refuses to repair the damage.","[""United States of America""]","1950"
"der-bleiakkumulator","Der Bleiakkumulator","de","Educational short about lead-acid batteries.","[]","1956"
